'11121';'Innsbruck';'579';'2019-04-19';'00:00';'1025.6';'hPa';'2019-04-19 00:15:07'
'11121';'Innsbruck';'579';'2019-04-19';'01:00';'1026.2';'hPa';'2019-04-19 01:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'02:00';'1026.1';'hPa';'2019-04-19 02:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'03:00';'1027.6';'hPa';'2019-04-19 03:15:07'
'11121';'Innsbruck';'579';'2019-04-19';'04:00';'1028.4';'hPa';'2019-04-19 04:15:09'
'11121';'Innsbruck';'579';'2019-04-19';'05:00';'1029.0';'hPa';'2019-04-19 05:15:07'
'11121';'Innsbruck';'579';'2019-04-19';'06:00';'1029.7';'hPa';'2019-04-19 06:15:07'
'11121';'Innsbruck';'579';'2019-04-19';'07:00';'1030.1';'hPa';'2019-04-19 07:15:07'
'11121';'Innsbruck';'579';'2019-04-19';'08:00';'1030.2';'hPa';'2019-04-19 08:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'09:00';'1029.4';'hPa';'2019-04-19 09:15:09'
'11121';'Innsbruck';'579';'2019-04-19';'10:00';'1028.6';'hPa';'2019-04-19 10:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'11:00';'1027.4';'hPa';'2019-04-19 11:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'12:00';'1026.3';'hPa';'2019-04-19 12:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'13:00';'1025.8';'hPa';'2019-04-19 13:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'14:00';'1025.1';'hPa';'2019-04-19 14:15:10'
'11121';'Innsbruck';'579';'2019-04-19';'15:00';'1024.4';'hPa';'2019-04-19 15:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'16:00';'1023.7';'hPa';'2019-04-19 16:15:10'
'11121';'Innsbruck';'579';'2019-04-19';'17:00';'1023.4';'hPa';'2019-04-19 17:15:10'
'11121';'Innsbruck';'579';'2019-04-19';'18:00';'1023.2';'hPa';'2019-04-19 18:15:07'
'11121';'Innsbruck';'579';'2019-04-19';'19:00';'1023.6';'hPa';'2019-04-19 19:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'20:00';'1024.8';'hPa';'2019-04-19 20:15:08'
'11121';'Innsbruck';'579';'2019-04-19';'21:00';'1026.5';'hPa';'2019-04-19 21:15:10'
'11121';'Innsbruck';'579';'2019-04-19';'22:00';'1027.4';'hPa';'2019-04-19 22:15:06'
'11121';'Innsbruck';'579';'2019-04-19';'23:00';'1028.5';'hPa';'2019-04-19 23:15:10'
