yyyy,mm,day,HH,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2019,5,24,5,26,40.99,8.399999999999999,-999,1.2382265892998556,-1.5331153323846596,0.5694972495739256,0.03863599529805487,290.7595112468759
2019,5,24,5,27,40.99,8.399999999999999,-999,1.2382265892998556,-1.33405586138684,0.5694972495739256,0.03833642695200061,288.026936961955
2019,5,24,5,28,40.99,8.399999999999999,-999,1.2382265892998556,-1.2701122595219814,0.5694972495739256,0.038036858605946335,285.29436267703414
2019,5,24,5,29,40.99,8.399999999999999,-999,1.2382265892998556,-1.1745367303835546,0.5694972495739256,0.037737290259892066,282.5617883921133
2019,5,24,5,30,40.99,8.399999999999999,-999,1.2382265892998556,-1.4003295794275246,0.5694972495739256,0.0374377219138378,279.82921410719246
2019,5,24,5,31,40.99,8.399999999999999,-999,1.2382265892998556,-1.563023942206165,0.5694972495739256,0.037138153567783536,277.0966398222716
2019,5,24,5,32,40.99,8.399999999999999,-999,1.2382265892998556,-1.7665998989275553,0.5694972495739256,0.03683858522172926,274.3640655373507
2019,5,24,5,33,40.99,8.399999999999999,-999,1.2382265892998556,-1.6311190264467943,0.5694972495739256,0.036539016875674984,271.6314912524299
2019,5,24,5,34,40.99,8.399999999999999,-999,1.2382265892998556,-1.5823005611573062,0.5694972495739256,0.03623944852962071,268.898916967509
2019,5,24,5,35,40.99,8.399999999999999,-999,1.2382265892998556,-1.3520636252089848,0.5694972495739256,0.03593988018356645,266.16634268258815
2019,5,24,5,36,40.99,8.399999999999999,-999,1.2382265892998556,-1.1504960056598965,0.5694972495739256,0.03564031183751218,263.43376839766734
2019,5,24,5,37,40.99,8.399999999999999,-999,1.2382265892998556,-1.0693729979425903,0.5694972495739256,0.0353407434914579,260.70119411274646
2019,5,24,5,38,40.99,8.399999999999999,-999,1.2382265892998556,-1.4807227905717777,0.5694972495739256,0.03504117514540364,257.9686198278256
2019,5,24,5,39,40.99,8.399999999999999,-999,1.2382265892998556,-1.3174961601974893,0.5694972495739256,0.034741606799349366,255.23604554290475
2019,5,24,5,40,40.99,8.399999999999999,-999,1.2382265892998556,-1.4319140951331197,0.5694972495739256,0.0344420384532951,252.5034712579839
2019,5,24,5,41,40.99,8.399999999999999,-999,1.2382265892998556,-1.2990028824426882,0.5694972495739256,0.03414247010724082,249.77089697306303
2019,5,24,5,42,40.99,8.399999999999999,-999,1.2382265892998556,-1.21030085994729,0.5694972495739256,0.03384290176118656,247.0383226881422
2019,5,24,5,43,40.99,8.399999999999999,-999,1.2382265892998556,-1.23396547986889,0.5694972495739256,0.03354333341513229,244.30574840322134
2019,5,24,5,44,40.99,8.399999999999999,-999,1.2382265892998556,-1.2169153077492998,0.5694972495739256,0.03324376506907802,241.57317411830047
2019,5,24,5,45,40.99,8.399999999999999,-999,1.2382265892998556,-0.9314050473471885,0.5694972495739256,0.03294419672302374,238.8405998333796
2019,5,24,5,46,40.99,8.399999999999999,-999,1.2382265892998556,-0.9167034177672041,0.5694972495739256,0.03264462837696948,236.10802554845876
2019,5,24,5,47,40.99,8.399999999999999,-999,1.2382265892998556,-0.8114731300899359,0.5694972495739256,0.03234506003091521,233.3754512635379
2019,5,24,5,48,40.99,8.399999999999999,-999,1.2382265892998556,-0.8714751910083248,0.5694972495739256,0.032045491684860934,230.64287697861704
2019,5,24,5,49,40.99,8.399999999999999,-999,1.2382265892998556,-0.95657007691041,0.5694972495739256,0.03174592333880667,227.9103026936962
2019,5,24,5,50,40.99,8.399999999999999,-999,1.2382265892998556,-0.8575846480685761,0.5694972495739256,0.031446354992752404,225.17772840877535
2019,5,24,5,51,40.99,8.399999999999999,-999,1.2382265892998556,-0.7690177811938503,0.5694972495739256,0.03114678664669813,222.44515412385448
2019,5,24,5,52,40.99,8.399999999999999,-999,1.2382265892998556,-0.7061405076465166,0.5694972495739256,0.030847218300643856,219.71257983893364
2019,5,24,5,53,40.99,8.399999999999999,-999,1.2382265892998556,-0.658236516558115,0.5694972495739256,0.030547649954589588,216.9800055540128
2019,5,24,5,54,40.99,8.399999999999999,-999,1.2382265892998556,-0.6705278482427729,0.5694972495739256,0.030248081608535322,214.24743126909192
2019,5,24,5,55,40.99,8.399999999999999,-999,1.2382265892998556,-0.6266647377399276,0.5694972495739256,0.02994851326248105,211.51485698417105
2019,5,24,5,56,40.99,8.399999999999999,-999,1.2382265892998556,-0.690812320249635,0.5694972495739256,0.02964894491642678,208.7822826992502
2019,5,24,5,57,40.99,8.399999999999999,-999,1.2382265892998556,-0.7464765877866094,0.5694972495739256,0.02934937657037251,206.04970841432936
2019,5,24,5,58,40.99,8.399999999999999,-999,1.2382265892998556,-0.816803809779223,0.5694972495739256,0.029049808224318237,203.3171341294085
2019,5,24,5,59,40.99,8.399999999999999,-999,1.2382265892998556,-0.771162995402316,0.5694972495739256,0.028750239878263965,200.58455984448764
2019,5,24,6,0,40.99,8.399999999999999,-999,1.2382265892998556,-0.8551017949679509,0.5694972495739256,0.028450671532209693,197.8519855595668
2019,5,24,6,1,40.99,8.399999999999999,-999,1.2382265892998556,-0.88860019542677,0.5694972495739256,0.028151103186155428,195.11941127464593
2019,5,24,6,2,40.99,8.399999999999999,-999,1.2382265892998556,-0.8440459533536889,0.5694972495739256,0.02785153484010116,192.38683698972508
2019,5,24,6,3,40.99,8.399999999999999,-999,1.2382265892998556,-0.5678598480796945,0.5694972495739256,0.027551966494046887,189.6542627048042
