yyyy,mm,day,HH,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2019,5,24,3,26,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-4.238932821273787,0.5694972495739256,0.03863599529805487,290.7595112468759
2019,5,24,3,27,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.688550402434115,0.5694972495739256,0.03833642695200061,288.026936961955
2019,5,24,3,28,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.5117518100974197,0.5694972495739256,0.038036858605946335,285.29436267703414
2019,5,24,3,29,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.2474936432018344,0.5694972495739256,0.037737290259892066,282.5617883921133
2019,5,24,3,30,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.871791566785093,0.5694972495739256,0.0374377219138378,279.82921410719246
2019,5,24,3,31,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-4.3216275704117075,0.5694972495739256,0.037138153567783536,277.0966398222716
2019,5,24,3,32,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-4.884497686142831,0.5694972495739256,0.03683858522172926,274.3640655373507
2019,5,24,3,33,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-4.509904656588929,0.5694972495739256,0.036539016875674984,271.6314912524299
2019,5,24,3,34,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-4.374925773768713,0.5694972495739256,0.03623944852962071,268.898916967509
2019,5,24,3,35,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.738340329839449,0.5694972495739256,0.03593988018356645,266.16634268258815
2019,5,24,3,36,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.181023094688166,0.5694972495739256,0.03564031183751218,263.43376839766734
2019,5,24,3,37,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.9567249139123857,0.5694972495739256,0.0353407434914579,260.70119411274646
2019,5,24,3,38,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-4.094071922429901,0.5694972495739256,0.03504117514540364,257.9686198278256
2019,5,24,3,39,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.642764244407216,0.5694972495739256,0.034741606799349366,255.23604554290475
2019,5,24,3,40,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.9591200524119614,0.5694972495739256,0.0344420384532951,252.5034712579839
2019,5,24,3,41,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.5916319124868092,0.5694972495739256,0.03414247010724082,249.77089697306303
2019,5,24,3,42,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.3463784038128965,0.5694972495739256,0.03384290176118656,247.0383226881422
2019,5,24,3,43,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.4118090547037268,0.5694972495739256,0.03354333341513229,244.30574840322134
