path_height,norm_position,path_weight
-0.12335,0.00037546,0.12361709329424904
0.7764300000000001,0.0024281,0.13160204075560064
5.5062,0.0044807,0.13965756626387646
28.893,0.0065333,0.1477833661725753
-1.6611,0.008585899999999999,0.1559789716161419
14.311,0.010639000000000001,0.1642459251454989
17.551,0.012691,0.17257726463567535
24.555,0.014744,0.18098101160590988
20.71,0.016796000000000002,0.18944846976135624
26.314,0.018849,0.19798737203422398
26.733,0.020902,0.20659307822065656
24.373,0.022954,0.21526080794258742
23.94,0.025006999999999998,0.22399845921877765
24.316999999999997,0.027058999999999996,0.2327969603262106
24.122,0.029112,0.24166431689989032
24.476999999999997,0.031164999999999998,0.2505956770087418
25.728,0.033217,0.2595860542433227
27.898000000000003,0.035269999999999996,0.26864361186390473
24.62,0.037323,0.27776337476388674
24.995,0.039375,0.2869402370237267
27.099,0.041428,0.29618251476131047
30.624000000000002,0.04348,0.30548056700022913
31.176,0.045533,0.3148428090012059
21.576,0.047586,0.3242640673568231
21.494,0.049638,0.3337390443589463
28.65,0.051690999999999994,0.3432762997077522
25.853,0.05374400000000001,0.35287054547300495
27.105,0.055796000000000005,0.3625163735678149
23.52,0.057849,0.372222482804179
31.62,0.059900999999999996,0.3819787065291887
30.506,0.061953999999999995,0.3917938332291775
24.079,0.06400700000000001,0.40166239206432486
26.555999999999997,0.066059,0.4115787993272661
25.509,0.068112,0.42155197329080296
24.070999999999998,0.070164,0.43157144326994534
25.934,0.07221699999999999,0.44164621081406813
19.003,0.07427,0.4517706327484082
17.87,0.076322,0.4619389607817831
23.56,0.078375,0.47216031638692296
21.311,0.080428,0.48242895835416794
20.2,0.08248,0.4927390452216793
22.061999999999998,0.08453300000000001,0.5030998122196684
19.988,0.08658500000000001,0.5135003450373887
25.111,0.088638,0.5239499512235428
30.866999999999997,0.090691,0.5344427356013061
30.414,0.09274299999999999,0.5449727111891212
17.554000000000002,0.094796,0.5555492886224872
30.836,0.096848,0.5661613049223518
30.621,0.098901,0.5768182357707254
27.891,0.10095,0.5874931677559347
24.590999999999998,0.10300999999999999,0.5982635608063284
23.61,0.10505999999999999,0.6090187584236157
30.766,0.10711,0.6198100598590668
27.754,0.10916,0.6306365657031144
31.737,0.11122,0.6415504318687566
20.826999999999998,0.11327000000000001,0.6524447818943345
28.268,0.11532,0.6633715933352015
33.369,0.11737,0.6743299402538452
31.25,0.11943,0.6853725684570076
33.792,0.12147999999999999,0.6963913255742635
15.334000000000001,0.12353,0.7074387979928659
8.9053,0.12559,0.7185681269759026
8.845,0.12764,0.729670300184489
16.483,0.12969,0.7407983140140648
12.505,0.13174,0.7519512002233685
9.1635,0.1338,0.7631825628538588
9.3412,0.13585,0.7743823762442725
14.200999999999999,0.1379,0.7856041193903524
17.749000000000002,0.13995,0.7968468023526787
12.897,0.14201,0.8081644169582423
10.67,0.14406,0.8194460792946102
17.018,0.14611,0.8307456764189445
21.811,0.14816,0.8420621985668101
17.33,0.15022,0.853449948810744
19.918,0.15227000000000002,0.8647973433658358
12.855,0.15432,0.8761586012259822
12.159,0.15637,0.8875326947308775
11.833,0.15843,0.8989741602566057
14.485,0.16047999999999998,0.9103708755302263
20.833000000000002,0.16253,0.9217773139158422
26.763,0.16458,0.9331924318381458
32.303000000000004,0.16664,0.9446709197819176
29.855999999999998,0.16869,0.9561002810660603
13.388,0.17074,0.9675351645645952
45.001000000000005,0.1728,0.9790303237209653
47.17,0.17485,0.9904730901170258
48.333,0.1769,1.0019181918373865
46.915,0.17895,1.0133645623582006
50.596000000000004,0.18101,1.0248669680627756
49.615,0.18306,1.0363126588407456
46.489,0.18511,1.0477563976019915
48.876999999999995,0.18716,1.0591971075857864
48.903,0.18922,1.0706894862728726
55.559,0.19127,1.0821208716915405
56.152,0.19332,1.0935459799517309
57.20399999999999,0.19537000000000002,1.1049637261902068
57.691,0.19743,1.1164286564792896
59.292,0.19948,1.1278283682840717
46.74,0.20153,1.1392174485817912
51.578,0.20357999999999998,1.150594806570665
65.689,0.20564000000000002,1.1620147539088794
68.036,0.20769,1.1733653199224738
71.14399999999999,0.20974,1.184700879578598
67.999,0.2118,1.196075513941832
66.581,0.21385,1.2073776900672972
60.503,0.2159,1.218661569195427
80.959,0.21795,1.2299260554100118
67.729,0.22000999999999998,1.2412248493721079
59.028,0.22205999999999998,1.2524471534608703
49.431000000000004,0.22411,1.263646771032657
53.85,0.22616,1.2748226062961698
50.071999999999996,0.22821999999999998,1.2860278959868405
54.428000000000004,0.23026999999999997,1.29715275153634
53.295,0.23231999999999997,1.308250534897725
53.297,0.23437,1.319320152634826
64.042,0.23643000000000003,1.3304142941634678
56.412,0.23848000000000003,1.3414241535104248
70.721,0.24053000000000002,1.3524025677881928
56.091,0.24258000000000002,1.363348448151398
58.327,0.24464,1.374313853599981
64.608,0.24669000000000002,1.385191233757853
65.902,0.24874000000000002,1.3960328177111028
63.806000000000004,0.25079,1.4068375234410626
85.46600000000001,0.25285,1.4176566969029474
86.301,0.2549,1.4283842154241284
95.71,0.25695,1.4390716172995843
94.775,0.25901,1.44976965960427
95.916,0.26106,1.4603734031487448
95.943,0.26311,1.4709338139276875
96.25,0.26516,1.481449827234971
96.321,0.26721999999999996,1.4919713441098374
96.631,0.26927,1.5023951510820746
96.11200000000001,0.27132,1.512771380015389
95.765,0.27337,1.5230989791383145
95.85600000000001,0.27543,1.5334269129829758
97.587,0.27748,1.5436538616156772
97.571,0.27953,1.553829042035382
98.07600000000001,0.28158,1.5639514175955234
91.387,0.28364,1.5740689369481982
