FFP FOOTPRINT classification, Site: 20190618114111310
Area,Class=1 within footprint,Class=2 within footprint,Class=3 within footprint,Class=4 within footprint,Class=5 within footprint
10%, 0.111, 0.125, 0.556, 0.208, 0.000
20%, 0.111, 0.197, 0.442, 0.216, 0.034
30%, 0.139, 0.204, 0.355, 0.243, 0.058
40%, 0.153, 0.233, 0.307, 0.236, 0.072
50%, 0.144, 0.269, 0.292, 0.214, 0.080
60%, 0.162, 0.268, 0.245, 0.254, 0.070
70%, 0.156, 0.260, 0.245, 0.282, 0.057
80%, 0.165, 0.254, 0.242, 0.269, 0.071
90%, 0.168, 0.251, 0.238, 0.271, 0.073
Domain, 0.175, 0.268, 0.223, 0.265, 0.069
nk, 18-Jun-2019
