FFP FOOTPRINT weighted classification, Site: 20190618114259310
Area,Class=1 footprint-weighted,Class=2 footprint-weighted,Class=3 footprint-weighted,Class=4 footprint-weighted,Class=5 footprint-weighted
10%, 0.467, 0.021, 0.137, 0.000, 0.374
20%, 0.464, 0.031, 0.191, 0.000, 0.314
30%, 0.457, 0.035, 0.230, 0.006, 0.271
40%, 0.441, 0.028, 0.248, 0.024, 0.260
50%, 0.451, 0.025, 0.252, 0.022, 0.249
60%, 0.451, 0.023, 0.263, 0.024, 0.239
70%, 0.448, 0.023, 0.264, 0.028, 0.237
80%, 0.438, 0.026, 0.268, 0.031, 0.238
90%, 0.430, 0.028, 0.268, 0.037, 0.237
Domain, 0.424, 0.030, 0.268, 0.043, 0.235
nk, 18-Jun-2019
