#Dataset: HATPRO UIBK Humidity - RAW
rawdate;v01;v02;v03;v04;v05;v06;v07;v08;v09;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39
2019-05-23 03:00:00;7.65;7.57;7.48;7.44;7.37;7.31;7.25;7.18;7.06;6.95;6.79;6.65;6.50;6.37;6.24;6.11;5.94;5.75;5.55;5.26;4.98;4.69;4.41;4.01;3.63;3.29;2.81;2.32;1.89;1.45;1.11;0.78;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 03:10:00;7.66;7.58;7.49;7.44;7.37;7.31;7.25;7.18;7.06;6.94;6.79;6.64;6.50;6.37;6.24;6.12;5.95;5.76;5.56;5.28;4.99;4.71;4.42;4.02;3.63;3.29;2.80;2.31;1.87;1.44;1.10;0.77;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 03:20:00;7.63;7.55;7.45;7.40;7.33;7.27;7.20;7.14;7.01;6.90;6.74;6.60;6.46;6.33;6.21;6.08;5.91;5.72;5.53;5.25;4.97;4.69;4.40;3.99;3.60;3.26;2.78;2.29;1.85;1.43;1.09;0.77;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 03:30:00;7.69;7.61;7.52;7.47;7.41;7.34;7.28;7.21;7.09;6.98;6.82;6.68;6.53;6.40;6.27;6.15;5.97;5.78;5.59;5.30;5.01;4.72;4.43;4.03;3.64;3.29;2.80;2.30;1.86;1.43;1.08;0.76;0.53;0.36;0.24;0.14;0.07;0.03;0.01
2019-05-23 03:40:00;7.68;7.61;7.53;7.48;7.42;7.36;7.30;7.24;7.12;7.01;6.85;6.70;6.55;6.42;6.29;6.16;5.98;5.78;5.58;5.28;4.99;4.71;4.42;4.02;3.64;3.29;2.80;2.31;1.87;1.43;1.09;0.76;0.52;0.36;0.24;0.14;0.06;0.03;0.01
2019-05-23 03:50:00;7.67;7.61;7.54;7.50;7.44;7.39;7.33;7.27;7.15;7.04;6.88;6.73;6.58;6.44;6.30;6.17;5.97;5.78;5.56;5.25;4.96;4.68;4.39;4.01;3.64;3.31;2.82;2.33;1.91;1.46;1.11;0.77;0.52;0.36;0.23;0.13;0.06;0.03;0.01
2019-05-23 04:00:00;7.56;7.52;7.47;7.45;7.41;7.36;7.31;7.26;7.15;7.04;6.88;6.72;6.56;6.41;6.25;6.10;5.89;5.69;5.46;5.13;4.84;4.56;4.30;3.95;3.63;3.32;2.86;2.41;2.02;1.57;1.20;0.82;0.54;0.37;0.24;0.13;0.06;0.02;0.01
2019-05-23 04:10:00;7.64;7.58;7.53;7.50;7.45;7.40;7.35;7.29;7.18;7.07;6.91;6.75;6.60;6.45;6.30;6.16;5.95;5.75;5.52;5.20;4.91;4.63;4.36;3.99;3.65;3.33;2.86;2.39;1.98;1.53;1.17;0.80;0.54;0.37;0.23;0.13;0.06;0.02;0.01
2019-05-23 04:20:00;7.67;7.60;7.52;7.49;7.43;7.37;7.31;7.25;7.13;7.02;6.87;6.72;6.57;6.43;6.29;6.16;5.97;5.77;5.56;5.25;4.96;4.68;4.39;4.00;3.62;3.29;2.80;2.30;1.88;1.44;1.09;0.75;0.51;0.35;0.23;0.13;0.06;0.03;0.01
2019-05-23 04:30:00;7.64;7.57;7.50;7.45;7.40;7.34;7.28;7.22;7.10;6.99;6.83;6.68;6.54;6.40;6.26;6.13;5.94;5.75;5.54;5.24;4.95;4.66;4.38;3.98;3.61;3.27;2.78;2.29;1.86;1.42;1.08;0.75;0.51;0.35;0.23;0.13;0.06;0.03;0.01
2019-05-23 04:40:00;7.58;7.51;7.43;7.38;7.32;7.26;7.20;7.14;7.02;6.91;6.75;6.60;6.46;6.33;6.20;6.07;5.89;5.69;5.49;5.20;4.92;4.63;4.35;3.96;3.58;3.25;2.77;2.28;1.86;1.43;1.09;0.76;0.53;0.36;0.24;0.14;0.07;0.03;0.01
