#Dataset: HATPRO UIBK Temperature - RAW
rawdate;v01;v02;v03;v04;v05;v06;v07;v08;v09;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39
2019-05-23 03:00:00;283.79;283.74;283.57;283.37;283.13;282.89;282.68;282.48;282.09;281.67;281.10;280.58;280.09;279.59;279.14;278.74;278.19;277.64;277.12;276.43;275.74;275.06;274.28;273.31;272.40;271.32;269.99;268.57;267.28;265.58;263.38;260.47;256.71;252.57;248.06;242.03;234.26;226.98;222.01
2019-05-23 03:10:00;283.85;283.79;283.59;283.39;283.16;282.92;282.73;282.56;282.24;281.84;281.23;280.64;280.06;279.49;279.01;278.58;278.01;277.41;276.84;276.15;275.48;274.76;273.99;273.05;272.21;271.17;269.90;268.53;267.28;265.62;263.43;260.53;256.65;252.47;247.93;241.89;234.09;226.85;222.16
2019-05-23 03:20:00;283.65;283.62;283.50;283.35;283.15;282.92;282.73;282.53;282.16;281.72;281.06;280.49;279.99;279.47;279.01;278.60;278.08;277.53;277.00;276.31;275.64;274.95;274.21;273.30;272.43;271.33;269.99;268.63;267.33;265.59;263.42;260.40;256.54;252.36;247.92;241.87;234.10;226.61;221.48
2019-05-23 03:30:00;283.54;283.50;283.36;283.21;283.01;282.81;282.64;282.48;282.16;281.76;281.17;280.61;280.12;279.58;279.11;278.69;278.13;277.53;276.99;276.31;275.60;274.86;274.04;273.06;272.10;270.96;269.58;268.17;266.82;265.21;262.94;259.94;256.11;251.88;247.39;241.45;233.77;226.45;221.36
2019-05-23 03:40:00;283.58;283.51;283.33;283.14;282.90;282.65;282.45;282.28;281.96;281.59;281.07;280.63;280.20;279.75;279.36;279.02;278.54;278.00;277.48;276.87;276.24;275.55;274.81;273.85;272.91;271.76;270.34;268.80;267.34;265.59;263.27;260.23;256.29;252.07;247.51;241.44;233.72;226.59;221.83
2019-05-23 03:50:00;283.59;283.55;283.42;283.25;283.03;282.80;282.59;282.40;282.03;281.63;281.07;280.57;280.10;279.63;279.20;278.83;278.34;277.81;277.33;276.69;275.97;275.27;274.48;273.45;272.50;271.29;269.75;268.25;266.84;265.06;262.98;260.08;256.28;252.04;247.61;241.48;233.81;226.93;222.47
2019-05-23 04:00:00;283.82;283.73;283.49;283.27;283.01;282.76;282.55;282.36;282.00;281.59;281.05;280.55;280.07;279.59;279.21;278.87;278.40;277.83;277.38;276.79;276.11;275.36;274.60;273.63;272.64;271.57;270.14;268.65;267.02;265.20;262.93;260.08;256.29;252.16;247.62;241.44;233.85;227.10;223.08
2019-05-23 04:10:00;283.69;283.63;283.46;283.28;283.06;282.83;282.62;282.43;282.05;281.61;280.97;280.35;279.81;279.29;278.89;278.57;278.17;277.63;277.21;276.64;275.94;275.21;274.44;273.43;272.47;271.32;269.90;268.46;266.85;265.06;262.85;260.06;256.41;252.30;247.76;241.61;234.02;227.22;223.02
2019-05-23 04:20:00;283.65;283.61;283.48;283.34;283.14;282.93;282.73;282.55;282.17;281.71;281.09;280.52;279.96;279.41;278.97;278.56;278.04;277.46;276.93;276.28;275.60;274.85;274.07;273.08;272.13;270.95;269.48;267.97;266.50;264.75;262.45;259.49;255.63;251.53;247.03;240.91;233.17;226.28;222.00
2019-05-23 04:30:00;283.66;283.60;283.43;283.25;283.02;282.78;282.57;282.38;282.01;281.58;280.95;280.40;279.86;279.34;278.90;278.51;277.99;277.44;276.94;276.33;275.69;275.04;274.32;273.40;272.50;271.38;270.02;268.56;267.23;265.53;263.33;260.41;256.60;252.43;247.97;241.93;234.12;226.99;222.35
2019-05-23 04:40:00;283.62;283.57;283.42;283.25;283.03;282.80;282.60;282.41;282.07;281.66;281.05;280.49;279.96;279.44;278.97;278.55;278.03;277.45;276.93;276.24;275.50;274.75;273.98;273.00;272.03;270.85;269.40;267.98;266.59;264.78;262.49;259.52;255.61;251.40;246.89;240.90;233.19;226.09;221.35
2019-05-23 04:50:00;283.49;283.46;283.35;283.23;283.06;282.87;282.71;282.55;282.23;281.79;281.16;280.58;280.08;279.55;279.09;278.70;278.22;277.66;277.15;276.54;275.88;275.17;274.44;273.56;272.70;271.56;270.24;268.83;267.37;265.66;263.30;260.22;256.29;252.09;247.53;241.44;233.63;226.27;221.46
2019-05-23 05:00:00;283.30;283.31;283.26;283.15;282.99;282.80;282.63;282.45;282.11;281.70;281.07;280.50;279.99;279.50;279.02;278.58;278.08;277.50;276.97;276.28;275.58;274.94;274.22;273.31;272.44;271.24;269.79;268.29;267.02;265.24;263.13;260.12;256.28;252.07;247.60;241.45;233.60;226.20;221.01
2019-05-23 05:10:00;283.44;283.41;283.26;283.08;282.88;282.68;282.51;282.36;282.06;281.69;281.12;280.57;280.06;279.51;279.02;278.58;278.03;277.43;276.88;276.20;275.51;274.78;274.01;273.05;272.17;271.09;269.82;268.45;267.26;265.69;263.49;260.58;256.73;252.47;247.99;242.01;234.27;226.86;221.54
2019-05-23 05:20:00;283.73;283.67;283.46;283.20;282.89;282.59;282.35;282.12;281.72;281.32;280.76;280.29;279.85;279.41;278.97;278.56;278.03;277.49;276.97;276.31;275.66;275.02;274.29;273.31;272.41;271.32;269.96;268.53;267.29;265.60;263.61;260.71;256.88;252.63;248.20;242.14;234.48;227.12;221.79
2019-05-23 05:30:00;283.38;283.34;283.17;282.99;282.78;282.56;282.38;282.21;281.84;281.44;280.92;280.43;279.95;279.45;279.03;278.60;278.03;277.46;276.92;276.22;275.53;274.74;273.96;272.99;272.03;270.94;269.54;268.11;266.76;265.04;262.82;259.91;256.11;252.00;247.57;241.56;233.74;226.36;221.49
2019-05-23 05:40:00;283.44;283.40;283.27;283.12;282.92;282.71;282.54;282.39;282.05;281.67;281.11;280.57;280.04;279.49;279.01;278.58;277.99;277.40;276.87;276.19;275.57;274.91;274.19;273.31;272.50;271.44;270.15;268.77;267.60;266.08;263.95;261.11;257.39;253.24;248.81;242.80;235.00;227.56;222.19
2019-05-23 05:50:00;283.46;283.46;283.37;283.24;283.06;282.86;282.69;282.52;282.17;281.75;281.11;280.55;280.04;279.51;279.05;278.63;278.12;277.56;277.03;276.35;275.66;274.93;274.16;273.19;272.23;271.09;269.70;268.27;266.94;265.17;263.01;260.10;256.23;252.00;247.56;241.54;233.78;226.34;221.12
2019-05-23 06:00:00;283.71;283.68;283.52;283.32;283.07;282.81;282.59;282.37;281.98;281.55;280.89;280.29;279.73;279.23;278.74;278.29;277.76;277.25;276.78;276.09;275.44;274.85;274.12;273.18;272.33;271.24;269.92;268.58;267.37;265.68;263.74;260.85;256.99;252.71;248.15;242.03;234.22;226.84;221.71
2019-05-23 06:10:00;283.70;283.67;283.54;283.38;283.15;282.94;282.74;282.57;282.20;281.80;281.20;280.65;280.15;279.60;279.08;278.62;278.06;277.45;276.90;276.18;275.47;274.81;274.03;273.11;272.26;271.14;269.67;268.34;267.10;265.44;263.43;260.63;256.83;252.65;248.25;242.23;234.57;227.21;221.77
2019-05-23 06:20:00;284.04;283.96;283.73;283.47;283.17;282.89;282.66;282.45;282.07;281.66;281.08;280.56;280.12;279.63;279.17;278.77;278.19;277.59;277.01;276.32;275.58;274.84;274.02;273.01;272.04;270.95;269.68;268.31;267.04;265.47;263.33;260.48;256.68;252.48;248.05;242.15;234.59;227.24;222.11
2019-05-23 06:30:00;283.85;283.79;283.62;283.45;283.21;282.96;282.76;282.56;282.17;281.72;281.11;280.58;280.09;279.56;279.12;278.71;278.17;277.62;277.06;276.38;275.76;275.07;274.36;273.50;272.69;271.66;270.47;269.13;267.87;266.34;264.11;261.14;257.27;253.14;248.64;242.60;234.70;226.97;221.76
2019-05-23 06:40:00;284.09;284.05;283.93;283.76;283.53;283.28;283.09;282.90;282.55;282.10;281.44;280.88;280.35;279.78;279.27;278.84;278.31;277.69;277.11;276.45;275.81;275.17;274.42;273.53;272.80;271.70;270.47;269.10;267.83;266.19;264.00;260.93;256.97;252.77;248.23;242.14;234.18;226.66;221.69
2019-05-23 06:50:00;284.48;284.43;284.24;284.04;283.77;283.49;283.28;283.06;282.67;282.20;281.47;280.84;280.27;279.71;279.20;278.76;278.22;277.64;277.07;276.41;275.79;275.16;274.46;273.59;272.82;271.74;270.52;269.14;267.98;266.32;264.20;261.18;257.25;252.99;248.56;242.57;234.64;226.99;221.93
2019-05-23 07:00:00;284.64;284.62;284.49;284.31;284.06;283.79;283.56;283.34;282.89;282.37;281.66;281.05;280.51;279.93;279.43;278.99;278.44;277.86;277.29;276.60;275.94;275.24;274.50;273.59;272.72;271.60;270.31;268.95;267.67;266.05;263.85;260.87;256.99;252.80;248.32;242.35;234.56;227.02;221.55
2019-05-23 07:10:00;284.94;284.89;284.76;284.59;284.34;284.07;283.84;283.61;283.17;282.61;281.77;281.00;280.34;279.66;279.10;278.61;278.04;277.41;276.81;276.12;275.47;274.80;274.09;273.28;272.51;271.45;270.28;269.06;267.88;266.43;264.26;261.36;257.51;253.38;248.90;242.90;235.04;227.37;221.93
2019-05-23 07:20:00;285.18;285.12;284.93;284.69;284.37;284.04;283.76;283.50;283.02;282.50;281.76;281.10;280.54;279.96;279.43;278.96;278.37;277.74;277.12;276.34;275.51;274.72;273.82;272.73;271.76;270.59;269.33;268.14;267.01;265.55;263.53;260.74;256.94;252.87;248.51;242.63;235.04;227.58;222.34
2019-05-23 07:30:00;285.30;285.28;285.17;285.01;284.78;284.54;284.32;284.12;283.70;283.18;282.44;281.76;281.13;280.47;279.93;279.44;278.79;278.15;277.52;276.77;276.02;275.18;274.36;273.36;272.48;271.37;270.09;268.72;267.43;265.92;263.68;260.71;256.81;252.62;248.13;242.15;234.32;226.75;221.28
2019-05-23 07:40:00;285.81;285.75;285.55;285.30;285.00;284.70;284.45;284.21;283.76;283.23;282.46;281.79;281.16;280.50;279.92;279.40;278.72;278.05;277.39;276.59;275.85;275.08;274.25;273.29;272.41;271.36;270.13;268.85;267.79;266.32;264.24;261.40;257.56;253.36;248.95;243.08;235.34;227.74;222.36
2019-05-23 07:50:00;285.94;285.89;285.69;285.46;285.17;284.89;284.64;284.41;283.95;283.41;282.63;281.93;281.29;280.61;280.03;279.52;278.86;278.18;277.53;276.75;276.04;275.29;274.47;273.53;272.71;271.65;270.44;269.12;267.99;266.52;264.40;261.51;257.72;253.57;249.17;243.22;235.40;227.74;222.26
2019-05-23 08:00:00;286.26;286.20;286.00;285.77;285.48;285.18;284.93;284.68;284.22;283.69;282.89;282.19;281.53;280.87;280.30;279.83;279.20;278.57;277.92;277.13;276.32;275.54;274.69;273.69;272.84;271.71;270.47;269.11;267.93;266.34;264.22;261.29;257.50;253.27;248.85;242.97;235.18;227.61;222.47
