wind_dir,temperature,pressure,windspeed,shf,H_free,obukhov,yyyy,mm,day,HH,MM,zm,d,z0,u_mean,L,sigma_v,u_star
290.7595112468759,281.49468203276865,1018.7,0.17907834243574314,3.4180993136833537,21.167556087410176,-1.5331153323846596,2019,5,24,3,26,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.5331153323846596,0.5694972495739256,0.03863599529805487
288.026936961955,281.4896834212718,1018.7,0.17768983924218582,3.8374618809766448,25.47595789244825,-1.33405586138684,2019,5,24,3,27,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.33405586138684,0.5694972495739256,0.03833642695200061
285.29436267703414,281.48468480977505,1018.7,0.17630133604862847,3.936905669132594,26.785971999119973,-1.2701122595219814,2019,5,24,3,28,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.2701122595219814,0.5694972495739256,0.038036858605946335
282.5617883921133,281.4796861982782,1018.7,0.17491283285507112,4.157466175573204,29.415001765586542,-1.1745367303835546,2019,5,24,3,29,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.1745367303835546,0.5694972495739256,0.037737290259892066
279.82921410719246,281.47468758678144,1018.7,0.17352432966151377,3.4047181818868903,22.061726393942102,-1.4003295794275246,2019,5,24,3,30,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.4003295794275246,0.5694972495739256,0.0374377219138378
277.0966398222716,281.4696889752846,1018.7,0.17213582646795644,2.9776831477505663,18.26287402182983,-1.563023942206165,2019,5,24,3,31,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.563023942206165,0.5694972495739256,0.037138153567783536
274.3640655373507,281.46469036378784,1018.7,0.1707473232743991,2.571306322755306,14.833996516308915,-1.7665998989275553,2019,5,24,3,32,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.7665998989275553,0.5694972495739256,0.03683858522172926
271.6314912524299,281.459691752291,1018.7,0.16935882008084172,2.7174909767921815,16.315438083857497,-1.6311190264467943,2019,5,24,3,33,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.6311190264467943,0.5694972495739256,0.036539016875674984
268.898916967509,281.4546931407942,1018.7,0.16797031688728437,2.732995703738472,16.65972826901749,-1.5823005611573062,2019,5,24,3,34,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.5823005611573062,0.5694972495739256,0.03623944852962071
266.16634268258815,281.4496945292974,1018.7,0.16658181369372704,3.119722291678106,20.572677931544106,-1.3520636252089848,2019,5,24,3,35,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.3520636252089848,0.5694972495739256,0.03593988018356645
263.43376839766734,281.4446959178006,1018.7,0.1651933105001697,3.57538291917243,25.55956504399869,-1.1504960056598965,2019,5,24,3,36,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.1504960056598965,0.5694972495739256,0.03564031183751218
260.70119411274646,281.4396973063038,1018.7,0.16380480730661234,3.750429639421466,27.809288070602385,-1.0693729979425903,2019,5,24,3,37,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.0693729979425903,0.5694972495739256,0.0353407434914579
257.9686198278256,281.43469869480697,1018.7,0.16241630411305502,2.6402522197955185,16.637267199039865,-1.4807227905717777,2019,5,24,3,38,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.4807227905717777,0.5694972495739256,0.03504117514540364
255.23604554290475,281.4297000833102,1018.7,0.16102780091949767,2.8919017519548698,19.318896281188138,-1.3174961601974893,2019,5,24,3,39,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.3174961601974893,0.5694972495739256,0.034741606799349366
252.5034712579839,281.42470147181336,1018.7,0.15963929772594032,2.5925835920959597,16.612987628774757,-1.4319140951331197,2019,5,24,3,40,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.4319140951331197,0.5694972495739256,0.0344420384532951
249.77089697306303,281.41970286031653,1018.7,0.15825079453238297,2.783927295891207,18.729504473173982,-1.2990028824426882,2019,5,24,3,41,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.2990028824426882,0.5694972495739256,0.03414247010724082
247.0383226881422,281.41470424881976,1018.7,0.15686229133882562,2.9099975839197874,20.282403251731964,-1.21030085994729,2019,5,24,3,42,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.21030085994729,0.5694972495739256,0.03384290176118656
244.30574840322134,281.40970563732293,1018.7,0.1554737881452683,2.779065846831423,19.18318819128791,-1.23396547986889,2019,5,24,3,43,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.23396547986889,0.5694972495739256,0.03354333341513229
241.57317411830047,281.40470702582616,1018.7,0.15408528495171095,2.7431745935135137,19.067630538848707,-1.2169153077492998,2019,5,24,3,44,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.2169153077492998,0.5694972495739256,0.03324376506907802
238.8405998333796,281.3997084143293,1018.7,0.15269678175815357,3.4880393138269175,27.713127081378204,-0.9314050473471885,2019,5,24,3,45,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-0.9314050473471885,0.5694972495739256,0.03294419672302374
236.10802554845876,281.3947098028325,1018.7,0.15130827856459625,3.448176811043927,27.615223164557023,-0.9167034177672041,2019,5,24,3,46,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-0.9167034177672041,0.5694972495739256,0.03264462837696948
233.3754512635379,281.3897111913357,1018.7,0.1499197753710389,3.7890726395639502,32.25294045496416,-0.8114731300899359,2019,5,24,3,47,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-0.8114731300899359,0.5694972495739256,0.03234506003091521
